"Horodateur","Sexe","Votre formation","Niveau d'étude  ","Avez-vous la nationalité marocaine ? ","Que comptez-vous faire après l'obtention de votre diplôme ","Quelle est la durée de trajet de votre domicile à la faculté en minutes ? ","Vous assistez aux cours…  ","Votre entourage que vous fréquentez, est-il composé d'étudiants ayant globalement le même âge que vous ? ","Votre entourage que vous fréquentez, est-il composé d'étudiants ayant le même niveau d'études que vous ? ","Vous vous sentez pleinement intégré(e) à la population étudiante de votre formation et/ou de votre université","Quelle(s) pratique(s) mettez-vous en œuvre pour vos études ? ","Si je dois travailler dur à quelque chose, cela veut dire que je ne suis pas intelligent(e)","J'aime essayer des choses difficiles ","Lorsque je fais une erreur, j'ai honte ou je suis gêné(e) ","J'aime qu'on me dise que je suis intelligent(e)","J'abandonne généralement quand quelque chose devient difficile ou frustrant ","Ça ne me dérange pas de faire des erreurs car elles m'aident à apprendre ","Il y a des choses pour lesquelles je ne serai jamais doué(e) ","Les gens naissent soit stupides, moyens ou intelligents et ils ne peuvent changer cela par la suite ","Je suis fier(e) quand je fais de mon mieux, même si ce n'est pas parfait ","","","","","","","",""
"2024/05/06 3:35:49 PM UTC+1","Féminin","Ingénieur","BAC+4","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 15 et 30","Systématiquement","D’âges différents","Issus de différents niveaux d’études","Pas du tout d’accord","Plusieurs fois par semaine","Faux","Faux","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Environ une fois par semaine","Plusieurs fois par semaine","Une fois ou deux","Une fois ou deux","Plusieurs fois par semaine","jamais","Une fois ou deux","Une fois ou deux"
"2024/05/06 3:41:10 PM UTC+1","Féminin","Ingénieur","BAC+4","Oui, seulement celle-ci","Créer mon entreprise","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Faux","Vrai","Plusieurs fois par semaine","Environ une fois par semaine","Plusieurs fois par semaine","Environ une fois par semaine","Une fois ou deux","Une fois ou deux","Une fois ou deux","Une fois ou deux"
"2024/05/06 4:05:09 PM UTC+1","Masculin","Ingénieur","BAC+4","Oui, seulement celle-ci","Travailler dans le privé","Entre 45 et 60","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","ni pas d’accord","Environ une fois par semaine","Faux","Faux","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:12:01 PM UTC+1","Masculin","Ingénieur","BAC+5","Oui, seulement celle-ci","Travailler dans le privé","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Faux","Faux","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:13:49 PM UTC+1","Féminin","Ingénieur","BAC+5","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Moins de 15","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Plusieurs fois par semaine","Faux","Vrai","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","","","","","","","",""
"2024/05/06 4:13:51 PM UTC+1","Féminin","Ingénieur","BAC+4","Oui, seulement celle-ci","Travailler dans le privé","Entre 15 et 30","Jamais","Plus âgé(e)s que vous","Redoublants","Ni d’accord","jamais","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:14:38 PM UTC+1","Masculin","Ingénieur","BAC+4","Oui, seulement celle-ci","Travailler dans le privé","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","De niveau inférieur","Tout à fait d’accord","Presque tous les jours","Faux","Vrai","Faux","Faux","Faux","Vrai","Vrai","Vrai","Faux","","","","","","","",""
"2024/05/06 4:14:58 PM UTC+1","Masculin","Ingénieur","BAC+4","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","De niveau inférieur","Pas vraiment d’accord","Une fois ou deux","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 4:16:08 PM UTC+1","Masculin","Tronc commun","BAC+1","Oui, seulement celle-ci","Travailler dans le public","Moins de 15","Rarement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","ni pas d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:16:14 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Moins de 15","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Environ une fois par semaine","Faux","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
